year,category,winner,entity,extra
1927,ACTOR,FALSE,Richard Barthelmess,1
1927,ACTRESS,FALSE,Louise Dresser,2
1927,ACTRESS,FALSE,Gloria Swanson,3
1927,ART DIRECTION,FALSE,Rochus Gliese,4
1927,ART DIRECTION,FALSE,Harry Oliver,5
1927,CINEMATOGRAPHY,FALSE,George Barnes,6
1927,DIRECTING (Comedy Picture),FALSE,Ted Wilde,7
1927,DIRECTING (Dramatic Picture),FALSE,Herbert Brenon,8
1927,DIRECTING (Dramatic Picture),FALSE,King Vidor,9
1927,ENGINEERING EFFECTS,FALSE,Ralph Hammeras,10
1927,ENGINEERING EFFECTS,FALSE,Nugent Slaughter,11
1927,OUTSTANDING PICTURE,FALSE,The Caddo Company,12
1927,OUTSTANDING PICTURE,FALSE,Fox,13
1927,UNIQUE AND ARTISTIC PICTURE,FALSE,Metro-Goldwyn-Mayer,14
1927,UNIQUE AND ARTISTIC PICTURE,FALSE,Paramount Famous Lasky,15
1927,WRITING (Adaptation),FALSE,Alfred Cohn,16
1927,WRITING (Adaptation),FALSE,Anthony Coldeway,17
1927,WRITING (Original Story),FALSE,Lajos Biro,18
1927,WRITING (Title Writing),FALSE,Gerald Duffy,19
1927,WRITING (Title Writing),FALSE,"George Marion, Jr.",20
1928,ACTOR,FALSE,George Bancroft,21
1928,ACTOR,FALSE,Chester Morris,22
1928,ACTOR,FALSE,Paul Muni,23
1928,ACTOR,FALSE,Lewis Stone,24
1928,ACTRESS,FALSE,Ruth Chatterton,25
1928,ACTRESS,FALSE,Betty Compson,26
1928,ACTRESS,FALSE,Jeanne Eagels,27
1928,ACTRESS,FALSE,Corinne Griffith,28
1928,ACTRESS,FALSE,Bessie Love,29
1928,ART DIRECTION,FALSE,Hans Dreier,30
1928,ART DIRECTION,FALSE,Mitchell Leisen,31
1928,ART DIRECTION,FALSE,William Cameron Menzies,32
1928,ART DIRECTION,FALSE,Harry Oliver,33
1928,CINEMATOGRAPHY,FALSE,George Barnes,34
1928,CINEMATOGRAPHY,FALSE,Arthur Edeson,35
1928,CINEMATOGRAPHY,FALSE,Ernest Palmer,36
1928,CINEMATOGRAPHY,FALSE,John Seitz,37
1928,DIRECTING,FALSE,Lionel Barrymore,38
1928,DIRECTING,FALSE,Harry Beaumont,39
1928,DIRECTING,FALSE,Irving Cummings,40
1928,DIRECTING,FALSE,Frank Lloyd,41
1928,DIRECTING,FALSE,Ernst Lubitsch,42
1928,OUTSTANDING PICTURE,FALSE,Feature Productions,43
1928,OUTSTANDING PICTURE,FALSE,Fox,44
1928,OUTSTANDING PICTURE,FALSE,Metro-Goldwyn-Mayer,45
1928,OUTSTANDING PICTURE,FALSE,Paramount Famous Lasky,46
1928,WRITING,FALSE,Tom Barry,47
1928,WRITING,FALSE,Elliott Clawson,48
1928,WRITING,FALSE,Hans Kraly,49
1928,WRITING,FALSE,Josephine Lovett,50
1928,WRITING,FALSE,Bess Meredyth,51
1929,ACTOR,FALSE,George Arliss,52
1929,ACTOR,FALSE,Wallace Beery,53
1929,ACTOR,FALSE,Maurice Chevalier,54
1929,ACTOR,FALSE,Ronald Colman,55
1929,ACTOR,FALSE,Lawrence Tibbett,56
1929,ACTRESS,FALSE,Nancy Carroll,57
1929,ACTRESS,FALSE,Ruth Chatterton,58
1929,ACTRESS,FALSE,Greta Garbo,59
