state,square-miles
Alaska,"570,641"
Texas,"261,914"
California,"155,973"
Montana,"145,556"
New Mexico,"121,365"
Arizona,"113,642"
Nevada,"109,806"
Colorado,"103,730"
Wyoming,"97,105"
Oregon,"96,003"
Idaho,"82,751"
Utah,"82,168"
Kansas,"81,823"
Minnesota,"79,617"
Nebraska,"76,878"
South Dakota,"75,898"
North Dakota,"68,994"
Missouri,"68,898"
Oklahoma,"68,679"
Washington,"66,582"
Georgia,"57,919"
Michigan,"56,539"
Iowa,"55,875"
Illinois,"55,593"
Wisconsin,"54,314"
Florida,"53,997"
Arkansas,"52,075"
Alabama,"50,750"
North Carolina,"48,718"
New York,"47,224"
Mississippi,"46,914"
Pennsylvania,"44,820"
Louisiana,"43,566"
Tennessee,"41,220"
Ohio,"40,953"
Kentucky,"39,732"
Virginia,"39,598"
Indiana,"35,870"
Maine,"30,865"
South Carolina,"30,111"
West Virginia,"24,087"
Maryland,"9,775"
Vermont,"9,249"
New Hampshire,"8,969"
Massachusetts,"7,838"
New Jersey,"7,419"
Hawaii,"6,423"
Connecticut,"4,845"
Delaware,"1,955"
Rhode Island,"1,034"
